"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","EV","BsR","Off","Def","WAR","WPA/LI","Clutch","O-Swing%","Contact%","SwStr%","Soft%","Med%","Hard%","FRM","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","WPA","maxEV","HardHit","HardHit%","playerid"
"Nicholas Castellanos","Reds","60","242","14","37","34","0","7.9%","28.5%",".261",".257",".225",".298",".486",".329","102","91.0","-1.2","-0.5","-5.7","0.5","-0.01","0.52","38.2%","67.8%","16.7%","10.0%","53.3%","36.7%","","62","107","108","91.0","16.5","24","16.0%","0.50","108.5","69","46.0%","11737"
"Maikel Franco","Royals","60","243","8","23","38","1","6.6%","15.6%",".179",".298",".278",".321",".457",".329","106","86.7","-0.7","1.2","1.1","1.3","-0.05","0.45","34.2%","76.4%","11.8%","24.3%","42.9%","32.8%","","145","85","101","86.7","8.5","11","5.8%","0.40","112.5","73","38.6%","12179"
"Whit Merrifield","Royals","60","265","9","38","30","12","4.5%","12.5%",".157",".295",".282",".325",".440",".329","106","86.1","0.0","2.0","0.0","1.4","0.21","0.20","32.4%","85.5%","7.1%","13.9%","63.0%","23.1%","","83","124","71","86.1","15.8","11","5.1%","0.39","105.8","59","27.3%","11281"
"Max Kepler","Twins","48","196","9","27","23","3","11.2%","18.4%",".211",".236",".228",".321",".439",".328","107","88.5","2.3","3.9","-2.6","1.0","0.25","0.96","27.4%","81.4%","8.3%","23.5%","44.1%","32.4%","","140","87","99","88.5","21.9","7","5.1%","1.17","110.3","52","38.2%","12144"
"Andrew McCutchen","Phillies","57","241","10","32","34","4","9.1%","19.9%",".180",".281",".253",".324",".433",".327","103","89.6","-1.6","-0.7","-7.6","-0.2","0.35","-0.11","24.9%","80.8%","7.8%","15.9%","44.1%","40.0%","","98","88","118","89.6","18.6","14","8.2%","0.24","109.9","68","40.0%","9847"
"Hunter Dozier","Royals","44","186","6","29","12","4","14.5%","25.8%",".165",".288",".228",".344",".392",".326","104","86.4","1.5","2.6","-2.6","0.8","-0.31","-0.43","27.4%","70.7%","12.3%","21.8%","48.2%","30.0%","","130","95","92","86.4","17.0","9","8.2%","-0.66","110.3","34","30.9%","15117"
"Anthony Rizzo","Cubs","58","243","11","26","24","3","11.5%","15.6%",".192",".218",".222",".342",".414",".326","103","87.7","-0.4","0.5","-0.2","1.1","1.12","-0.32","33.3%","82.5%","7.4%","16.8%","47.9%","35.3%","","104","96","104","87.7","16.7","13","7.8%","0.73","114.5","58","34.7%","3473"
"Francisco Lindor","Indians","60","266","8","30","27","6","9.0%","15.4%",".157",".280",".258",".335",".415",".324","100","89.9","-2.5","-2.3","8.2","1.7","-0.54","-0.04","34.3%","80.8%","9.3%","9.6%","59.9%","30.5%","","58","118","94","89.9","13.5","11","5.6%","-0.59","111.4","81","41.1%","12916"
"Miguel Cabrera","Tigers","57","231","10","28","35","1","10.4%","22.1%",".167",".283",".250",".329",".417",".323","103","93.2","-2.1","-1.3","-6.0","0.3","-0.10","0.99","32.3%","70.4%","14.1%","12.3%","57.4%","30.3%","","73","113","93","93.2","12.1","15","9.7%","0.80","112.2","77","49.7%","1744"
"Asdrubal Cabrera","Nationals","52","213","8","23","31","0","8.9%","18.8%",".205",".260",".242",".305",".447",".319","95","89.4","-2.6","-3.9","-2.2","0.0","-0.32","-0.49","32.5%","80.5%","9.0%","18.2%","44.8%","37.0%","","112","90","109","89.4","13.8","10","6.5%","-0.80","107.0","58","37.7%","4962"
"Nick Ahmed","Diamondbacks","57","217","5","29","29","4","8.3%","21.2%",".136",".324",".266",".327",".402",".318","97","87.7","2.1","1.2","2.9","1.2","-0.13","-0.52","31.8%","74.9%","12.0%","16.3%","55.6%","28.1%","","101","111","83","87.7","9.4","8","5.2%","-0.66","107.7","51","33.3%","12147"
"Orlando Arcia","Brewers","59","189","5","22","20","2","7.4%","16.9%",".156",".292",".260",".317",".416",".317","96","89.0","-2.9","-4.0","2.6","0.7","-0.61","-0.14","28.6%","79.8%","9.4%","16.2%","47.2%","36.6%","","100","95","108","89.0","9.6","8","5.6%","-0.73","108.7","55","38.7%","13185"
"Miguel Sano","Twins","53","205","13","31","25","0","8.8%","43.9%",".274",".301",".204",".278",".478",".317","99","95.2","2.3","2.0","-6.0","0.5","0.14","-0.78","31.0%","59.6%","19.1%","10.4%","41.7%","47.9%","","62","82","147","95.2","20.2","22","22.9%","-0.63","115.8","55","57.3%","12164"
"Carlos Santana","Indians","60","255","8","34","30","0","18.4%","16.9%",".150",".212",".199",".349",".350",".316","95","88.0","-0.9","-2.5","-5.4","0.3","-0.43","0.66","18.9%","81.0%","6.9%","20.1%","45.7%","34.1%","","120","90","105","88.0","12.2","11","6.7%","0.24","111.5","60","36.6%","2396"
"Max Muncy","Dodgers","58","248","12","36","27","1","15.7%","24.2%",".197",".203",".192",".331",".389",".316","100","88.5","-0.4","-0.3","-4.3","0.4","0.06","-0.26","18.3%","74.4%","9.4%","10.3%","48.3%","41.4%","","64","97","122","88.5","14.2","18","12.4%","-0.19","109.8","58","40.0%","13301"
"Luis Robert","White Sox","56","227","11","33","31","9","8.8%","32.2%",".203",".300",".233",".302",".436",".316","101","87.9","1.7","2.1","3.4","1.5","-0.17","-0.02","43.1%","61.4%","22.1%","26.0%","44.3%","29.8%","","155","87","91","87.9","16.7","17","12.8%","-0.18","115.8","53","39.8%","20043"
"Matt Olson","Athletics","60","245","14","28","42","1","13.9%","31.4%",".229",".227",".195",".310",".424",".316","103","92.3","0.2","1.0","-1.8","0.8","0.23","0.12","23.5%","68.1%","13.6%","12.8%","44.4%","42.9%","","76","88","132","92.3","19.7","17","12.8%","0.39","112.5","61","45.9%","14344"
"Ketel Marte","Diamondbacks","45","195","2","19","17","1","3.6%","10.8%",".122",".311",".287",".323",".409",".316","95","89.2","-0.2","-1.5","-1.4","0.4","0.13","0.07","33.3%","87.5%","5.6%","17.8%","49.7%","32.5%","","110","100","96","89.2","10.0","6","3.7%","0.19","115.9","66","40.5%","13613"
"Ramon Laureano","Athletics","54","222","6","27","25","2","10.8%","26.1%",".153",".270",".213",".338",".366",".315","102","87.7","0.7","1.3","4.0","1.3","-0.08","2.37","27.0%","77.8%","8.9%","17.2%","50.0%","32.8%","","102","99","101","87.7","12.3","12","9.4%","2.42","111.3","44","34.4%","17128"
"Yoan Moncada","White Sox","52","231","6","28","24","0","12.1%","31.2%",".160",".315",".225",".320",".385",".309","97","87.8","3.0","2.1","4.3","1.6","-0.05","0.02","29.0%","72.6%","11.7%","16.9%","50.8%","32.3%","","101","100","99","87.8","13.9","8","6.2%","-0.03","109.9","43","33.1%","17232"
"Corey Dickerson","Marlins","52","210","7","25","17","1","7.1%","16.7%",".144",".283",".258",".311",".402",".308","95","85.5","0.0","-1.3","-3.8","0.0","0.04","-0.03","36.5%","76.5%","12.5%","17.0%","52.2%","30.8%","","105","105","91","85.5","11.7","9","5.6%","0.01","108.8","45","28.1%","10762"
"Carlos Correa","Astros","58","221","5","22","25","0","7.2%","22.2%",".119",".324",".264",".326",".383",".308","97","88.6","-0.2","-1.0","1.8","0.9","-0.17","-0.45","33.9%","79.2%","9.8%","17.0%","47.1%","35.9%","","101","93","110","88.6","11.4","9","5.9%","-0.68","109.0","64","41.8%","14162"
"Nolan Arenado","Rockies","48","201","8","23","26","0","7.5%","10.0%",".181",".241",".253",".303",".434",".308","76","87.8","-0.5","-6.7","9.3","1.0","-1.07","-0.32","35.1%","84.2%","7.6%","21.7%","44.0%","34.3%","","134","88","101","87.8","19.1","9","5.4%","-1.58","108.9","56","33.7%","9777"
"Evan Longoria","Giants","53","209","7","26","28","0","5.3%","18.7%",".171",".280",".254",".297",".425",".308","94","91.7","-2.1","-3.5","4.4","0.8","-0.24","-0.83","29.7%","80.1%","8.9%","11.5%","50.3%","38.2%","","71","101","113","91.7","10.7","18","11.5%","-1.05","111.5","71","45.2%","9368"
"Ryan McMahon","Rockies","52","193","9","23","26","0","9.3%","34.2%",".203",".286",".215",".295",".419",".308","76","90.1","0.6","-5.4","-0.2","0.1","-0.57","1.39","29.2%","68.8%","14.6%","11.2%","48.6%","40.2%","","69","97","118","90.1","9.2","12","11.2%","0.76","109.7","46","43.0%","15112"
"Isiah Kiner-Falefa","Rangers","58","228","3","28","10","8","6.1%","14.0%",".090",".316",".280",".329",".370",".307","84","87.2","-2.0","-6.5","2.8","0.4","-0.42","0.05","30.2%","86.3%","6.5%","17.2%","53.3%","29.4%","","103","105","90","87.2","0.8","4","2.2%","-0.33","106.2","56","31.1%","16512"
"Victor Reyes","Tigers","57","213","4","30","14","8","4.2%","21.1%",".114",".340",".277",".315",".391",".307","92","90.0","0.0","-2.1","0.8","0.8","-0.45","-0.45","43.8%","74.4%","13.8%","7.6%","65.6%","26.8%","","46","129","82","90.0","10.7","6","3.8%","-0.87","108.6","65","41.4%","15487"
"Kyle Schwarber","Cubs","59","224","11","30","24","1","13.4%","29.5%",".204",".219",".188",".308",".393",".307","90","92.8","0.4","-2.4","-3.7","0.4","0.00","0.11","29.8%","73.7%","11.2%","10.4%","48.8%","40.8%","","64","98","120","92.8","8.8","14","11.2%","0.09","114.9","59","47.2%","16478"
"Austin Riley","Braves","51","206","8","24","27","0","7.8%","23.8%",".176",".280",".239",".301",".415",".307","89","91.0","-0.4","-3.5","-3.4","-0.1","-0.65","-0.34","37.1%","72.5%","14.9%","15.7%","50.7%","33.6%","","97","102","99","91.0","13.6","14","10.0%","-0.96","111.0","60","42.9%","18360"
"Adalberto Mondesi","Royals","59","233","6","33","22","24","4.7%","30.0%",".160",".350",".256",".294",".416",".305","89","90.6","3.6","0.5","3.4","1.4","-0.58","-1.17","37.5%","62.7%","20.1%","12.6%","51.0%","36.4%","","75","101","112","90.6","13.7","11","7.3%","-1.77","111.0","59","39.1%","13769"
"Kolten Wong","Cardinals","53","208","1","26","16","5","9.6%","14.4%",".061",".311",".265",".350",".326",".305","92","86.5","2.2","0.0","4.5","1.3","-0.32","-0.05","27.3%","85.4%","6.2%","14.9%","60.4%","24.7%","","92","121","73","86.5","10.8","1","0.6%","-0.37","103.7","41","26.6%","12532"
"Josh Reddick","Astros","56","210","4","22","23","1","9.5%","20.0%",".133",".294",".245",".316",".378",".304","95","85.9","-2.0","-3.4","-10.5","-0.6","-0.65","0.28","28.3%","79.1%","9.7%","22.4%","49.7%","27.9%","","134","98","86","85.9","18.9","7","4.7%","-0.35","106.7","43","29.1%","3892"
"Keston Hiura","Brewers","59","246","13","30","32","3","6.5%","34.6%",".198",".273",".212",".297",".410",".304","87","87.4","-0.5","-4.8","-4.4","0.2","-0.87","0.07","35.0%","59.3%","20.4%","19.4%","51.5%","29.1%","","120","103","86","87.4","14.3","19","14.2%","-0.75","110.2","53","39.6%","20003"
"Rio Ruiz","Orioles","54","204","9","25","32","1","8.3%","22.5%",".205",".244",".222",".286",".427",".303","88","87.9","-2.2","-5.1","-0.6","0.0","-0.01","0.53","31.8%","75.9%","12.6%","19.1%","49.6%","31.2%","","114","98","96","87.9","10.5","12","8.5%","0.54","109.0","55","39.0%","14103"
"J.P. Crawford","Mariners","53","232","2","33","24","6","9.9%","16.8%",".083",".303",".255",".336",".338",".303","94","85.8","-0.2","-1.9","4.9","1.1","-0.58","0.54","24.6%","83.0%","7.0%","22.8%","47.9%","29.3%","","136","95","90","85.8","11.4","3","1.8%","-0.04","110.1","52","31.1%","15491"
"Tommy Edman","Cardinals","55","227","5","29","26","2","7.0%","21.1%",".118",".301",".250",".317",".368",".302","90","86.5","-0.3","-3.3","1.5","0.8","-0.24","0.47","29.2%","82.0%","7.6%","20.9%","50.0%","29.1%","","129","100","86","86.5","8.2","6","3.8%","0.22","109.0","53","33.5%","19470"
"Hanser Alberto","Orioles","54","231","3","35","22","3","2.2%","13.0%",".110",".314",".283",".306",".393",".301","87","82.3","3.1","-0.4","0.2","0.6","-0.20","-0.24","54.0%","85.5%","8.9%","22.3%","56.5%","21.2%","","133","111","65","82.3","13.2","2","1.0%","-0.47","103.8","39","20.2%","11902"
"Marcus Semien","Athletics","53","236","7","28","23","4","10.6%","21.2%",".152",".260",".223",".305",".374",".299","91","86.2","1.8","-0.8","4.4","1.2","-0.50","-0.22","24.3%","78.8%","9.3%","23.0%","49.1%","28.0%","","137","97","86","86.2","19.3","8","5.0%","-0.75","108.0","46","28.6%","12533"
"Nick Solak","Rangers","58","233","2","27","23","7","7.7%","18.0%",".077",".320",".268",".326",".344",".297","77","89.9","2.4","-4.3","-8.4","-0.4","-0.42","0.70","29.2%","82.1%","7.8%","14.6%","50.3%","35.1%","","87","99","108","89.9","9.4","8","4.7%","0.27","111.7","69","40.4%","19294"
"Joey Gallo","Rangers","57","226","10","23","26","2","12.8%","35.0%",".197",".240",".181",".301",".378",".297","77","91.2","2.7","-3.7","3.5","0.8","-0.70","0.88","22.7%","63.5%","15.9%","13.2%","45.6%","41.2%","","78","90","127","91.2","26.8","16","14.0%","0.17","113.5","50","43.9%","14128"
"Avisail Garcia","Brewers","53","207","2","20","15","1","9.7%","23.7%",".088",".315",".238",".333",".326",".296","81","87.4","-1.0","-5.9","3.6","0.7","-0.39","1.17","38.8%","67.6%","17.7%","16.7%","56.1%","27.3%","","103","112","80","87.4","8.7","5","3.8%","0.72","113.3","49","37.1%","5760"
"Adam Frazier","Pirates","58","230","7","22","23","1","7.4%","15.2%",".134",".246",".230",".297",".364",".291","81","85.5","-1.4","-7.0","3.4","0.6","-0.45","0.22","27.5%","84.9%","6.9%","18.3%","56.6%","25.1%","","113","113","74","85.5","12.3","7","4.0%","-0.22","107.5","44","25.1%","15223"
"J.D. Martinez","Red Sox","54","237","7","22","27","1","9.3%","24.9%",".175",".259",".213",".291",".389",".290","77","89.5","-1.0","-7.8","-8.6","-1.0","-0.86","-0.13","34.2%","73.6%","13.7%","11.0%","53.2%","35.7%","","66","105","110","89.5","14.7","17","11.0%","-0.93","110.7","64","41.6%","6184"
"Jorge Polanco","Twins","55","226","4","22","19","4","5.8%","15.5%",".096",".292",".258",".304",".354",".289","80","86.6","-0.6","-6.3","3.9","0.8","-1.03","1.13","27.6%","84.5%","6.8%","23.2%","52.5%","24.3%","","138","104","75","86.6","16.1","5","2.8%","0.09","109.2","58","32.8%","13152"
"Josh Bell","Pirates","57","223","8","22","22","0","9.9%","26.5%",".138",".273",".226",".305",".364",".286","78","91.7","0.2","-6.1","-7.6","-0.4","-1.02","0.33","30.5%","69.3%","14.1%","10.7%","47.9%","41.4%","","66","96","122","91.7","5.9","12","8.6%","-0.71","114.2","60","42.9%","13145"
"Yuli Gurriel","Astros","57","230","6","27","22","0","5.2%","11.7%",".152",".235",".232",".274",".384",".281","79","89.3","0.3","-5.7","-3.4","-0.1","0.04","-0.02","37.8%","86.2%","6.7%","14.8%","49.2%","36.0%","","88","97","111","89.3","13.9","7","3.7%","0.02","107.1","67","35.4%","19198"
"Jose Altuve","Astros","48","210","5","32","18","2","8.1%","18.6%",".125",".250",".219",".286",".344",".278","77","86.7","0.4","-5.7","-0.1","0.2","-0.77","-0.32","38.2%","80.2%","9.8%","15.7%","53.6%","30.7%","","94","106","94","86.7","9.3","7","4.6%","-1.10","106.9","51","33.3%","5417"
"Bryan Reynolds","Pirates","55","208","7","24","19","1","10.1%","27.4%",".168",".231",".189",".275",".357",".278","72","87.5","-1.7","-9.1","0.2","0.0","-0.20","-0.56","31.3%","75.1%","11.6%","10.9%","51.6%","37.5%","","68","103","110","87.5","10.2","13","10.1%","-0.86","110.7","49","38.0%","19326"
"Victor Robles","Nationals","52","189","3","20","15","4","4.8%","28.0%",".095",".298",".220",".293",".315",".273","65","82.6","1.3","-7.1","-2.9","-0.5","-1.24","-0.45","34.2%","73.9%","12.8%","22.0%","56.8%","21.2%","","136","114","62","82.6","19.4","2","1.7%","-1.70","109.2","26","22.0%","18363"
"Marwin Gonzalez","Twins","53","199","5","15","22","0","8.5%","20.6%",".109",".241",".211",".286",".320",".269","66","89.2","0.9","-7.3","0.3","0.2","-0.98","0.17","30.0%","79.9%","8.6%","15.2%","58.7%","26.1%","","91","116","80","89.2","12.6","7","5.1%","-0.72","106.0","53","38.4%","5497"
"Jonathan Villar","- - -","52","207","2","13","15","16","9.2%","26.1%",".059",".313",".232",".301",".292",".266","66","86.9","0.7","-8.1","-0.5","-0.3","-1.07","-0.52","36.8%","70.9%","14.9%","23.9%","50.0%","26.1%","","146","100","78","86.9","1.5","2","1.5%","-1.54","111.1","47","35.1%","10071"
"Erik Gonzalez","Pirates","50","193","3","14","20","2","4.1%","26.4%",".133",".292",".227",".255",".359",".262","62","88.5","0.2","-9.2","2.1","0.1","-0.85","0.16","39.0%","70.0%","16.0%","17.9%","49.3%","32.8%","","111","99","97","88.5","5.5","9","6.7%","-0.79","111.4","59","44.0%","13369"
"Evan White","Mariners","54","202","8","19","26","1","8.9%","41.6%",".170",".264",".176",".252",".346",".261","66","91.7","1.0","-7.5","-1.6","-0.2","-1.03","-0.27","28.4%","65.0%","15.3%","13.1%","52.5%","34.3%","","78","104","105","91.7","13.7","14","14.1%","-1.21","112.8","52","52.5%","20078"
"Eduardo Escobar","Diamondbacks","54","222","4","22","20","1","6.8%","18.5%",".123",".244",".212",".270",".335",".257","56","88.6","-0.9","-13.3","0.3","-0.5","-1.14","1.04","36.9%","79.6%","10.5%","12.2%","57.9%","29.9%","","75","116","88","88.6","18.1","9","5.5%","-0.12","106.7","52","31.7%","6153"
"Javier Baez","Cubs","59","235","8","27","24","3","3.0%","31.9%",".158",".262",".203",".238",".360",".256","57","89.4","-0.4","-13.5","2.7","0.0","-0.87","-0.49","40.6%","63.8%","19.1%","17.4%","46.3%","36.2%","","108","93","107","89.4","10.3","12","8.1%","-1.29","116.0","60","40.3%","12979"
"Nicky Lopez","Royals","56","192","1","15","13","0","9.4%","21.4%",".065",".260",".201",".286",".266",".254","55","84.9","-2.0","-12.7","2.0","-0.2","-1.60","-0.17","28.1%","80.7%","8.5%","22.9%","54.2%","22.9%","","137","107","70","84.9","1.4","2","1.5%","-1.59","104.6","35","26.7%","19339"
